"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.133461550E-1,-1.628057212E-1,-4.788403213E-2,9.931148529E0,9.932598335E0
8.183510780E-1,-1.053448766E-1,-1.053448766E-1,9.931148529E0,9.932265914E0
8.233559240E-1,-1.244984865E-1,-1.532289088E-1,9.921571732E0,9.923535892E0
8.283608470E-1,-1.532289088E-1,-9.576806426E-2,9.950302124E0,9.951942674E0
8.333352320E-1,-1.436520964E-1,-1.723825186E-1,9.902418137E0,9.904960202E0
8.383400780E-1,-1.340752989E-1,-1.340752989E-1,9.806650162E0,9.808483051E0
8.433450010E-1,-1.436520964E-1,-1.819593310E-1,9.835380554E0,9.838112409E0
8.483498470E-1,-1.819593310E-1,-6.703764945E-2,9.911994934E0,9.913891608E0
8.533547700E-1,-1.149216816E-1,-1.340752989E-1,9.854534149E0,9.856116196E0
8.583596160E-1,-1.436520964E-1,-7.661445439E-2,9.797073364E0,9.798426006E0
8.633340010E-1,-1.340752989E-1,-1.532289088E-1,9.959878922E0,9.961959818E0
8.683388470E-1,-1.436520964E-1,-1.915361285E-1,9.892841339E0,9.895738061E0
8.733437700E-1,-1.436520964E-1,-1.244984865E-1,9.931148529E0,9.932967679E0
8.783486160E-1,-1.149216816E-1,-1.149216816E-1,9.873687744E0,9.875025248E0
8.833535390E-1,-1.340752989E-1,-9.576806426E-2,9.940725327E0,9.942090712E0
8.883583860E-1,-1.532289088E-1,-1.149216816E-1,9.864110947E0,9.865970346E0
8.933327700E-1,-1.340752989E-1,-1.340752989E-1,9.902418137E0,9.904233303E0
8.983376930E-1,-6.703764945E-2,-6.703764945E-2,9.835380554E0,9.835837470E0
9.033426160E-1,-1.723825186E-1,-9.576806426E-2,9.854534149E0,9.856507016E0
9.083474630E-1,-4.788403213E-2,-1.244984865E-1,9.854534149E0,9.855436878E0
9.133523090E-1,-1.149216816E-1,-1.149216816E-1,9.931148529E0,9.932478296E0
9.183572320E-1,-1.053448766E-1,-1.340752989E-1,9.940725327E0,9.942187573E0
9.233620780E-1,-1.436520964E-1,-1.244984865E-1,9.921571732E0,9.923392637E0
9.283364630E-1,-1.915361285E-1,-1.053448766E-1,9.921571732E0,9.923979507E0
9.333413090E-1,-2.011129409E-1,-9.576806426E-2,9.892841339E0,9.895348791E0
9.383462320E-1,-1.053448766E-1,-8.619125932E-2,9.835380554E0,9.836322337E0
9.433510780E-1,-1.244984865E-1,-9.576806426E-2,9.883264542E0,9.884512603E0
9.483560010E-1,-1.819593310E-1,-1.149216816E-1,9.911994934E0,9.914331030E0
9.533608470E-1,-9.576806426E-2,-1.053448766E-1,9.864110947E0,9.865138308E0
9.583352320E-1,-1.149216816E-1,-1.532289088E-1,9.844957352E0,9.846820367E0
9.633401550E-1,-1.436520964E-1,-7.661445439E-2,9.864110947E0,9.865454397E0
9.683450010E-1,-1.915361285E-1,-1.149216816E-1,9.902418137E0,9.904937053E0
9.733499240E-1,-1.532289088E-1,-7.661445439E-2,9.931148529E0,9.932626036E0
9.783547700E-1,-2.202665508E-1,-8.619125932E-2,9.883264542E0,9.886094491E0
9.833596940E-1,-1.628057212E-1,-7.661445439E-2,9.892841339E0,9.894477512E0
9.883340010E-1,-1.340752989E-1,-6.703764945E-2,9.931148529E0,9.932279765E0
9.933389240E-1,-1.532289088E-1,-1.053448766E-1,9.988609314E0,9.990339968E0
9.983437700E-1,-1.149216816E-1,-1.053448766E-1,9.911994934E0,9.913220875E0
1.003348694E0,-1.053448766E-1,-1.340752989E-1,9.892841339E0,9.894310663E0
1.008353540E0,-1.628057212E-1,-7.661445439E-2,9.883264542E0,9.884902300E0
1.013358463E0,-1.915361285E-1,-8.619125932E-2,9.892841339E0,9.895070732E0
